example_id                                                   | status  | run_time        |
./spec/asciichem/model/bond_spec.rb[1:4:2]                   | passed  | 0.00117 seconds |
./spec/asciichem/model/bond_spec.rb[1:4:3]                   | passed  | 0.00096 seconds |
./spec/asciichem/model/bond_spec.rb[1:4:4]                   | passed  | 0.00198 seconds |
./spec/asciichem/model/electron_configuration_spec.rb[1:1:1] | passed  | 0.00003 seconds |
./spec/asciichem/model/electron_configuration_spec.rb[1:2:1] | passed  | 0.00003 seconds |
./spec/asciichem/model/formula_spec.rb[1:1:1]                | passed  | 0.00003 seconds |
./spec/asciichem/model/formula_spec.rb[1:2:1]                | passed  | 0.00005 seconds |
./spec/asciichem/model/group_spec.rb[1:1:1]                  | passed  | 0.00002 seconds |
./spec/asciichem/model/group_spec.rb[1:1:2]                  | passed  | 0.00003 seconds |
./spec/asciichem/model/group_spec.rb[1:2:1]                  | passed  | 0.00004 seconds |
./spec/asciichem/model/molecule_spec.rb[1:1:1]               | passed  | 0.00003 seconds |
./spec/asciichem/model/molecule_spec.rb[1:1:2]               | passed  | 0.00003 seconds |
./spec/asciichem/model/molecule_spec.rb[1:2:1]               | passed  | 0.00004 seconds |
./spec/asciichem/model/reaction_spec.rb[1:1:1]               | passed  | 0.00003 seconds |
./spec/asciichem/model/reaction_spec.rb[1:1:2]               | passed  | 0.00006 seconds |
./spec/asciichem/model/reaction_spec.rb[1:2:1]               | passed  | 0.00003 seconds |
./spec/asciichem/model/reaction_spec.rb[1:3:1]               | passed  | 0.00003 seconds |
./spec/asciichem/parser_spec.rb[1:1:1:1]                     | passed  | 0.00042 seconds |
./spec/asciichem/parser_spec.rb[1:1:2:1]                     | passed  | 0.00064 seconds |
./spec/asciichem/parser_spec.rb[1:1:3:1]                     | passed  | 0.00041 seconds |
./spec/asciichem/parser_spec.rb[1:1:4:1]                     | passed  | 0.0005 seconds  |
./spec/asciichem/parser_spec.rb[1:1:5:1]                     | passed  | 0.0007 seconds  |
./spec/asciichem/parser_spec.rb[1:1:6:1]                     | passed  | 0.00112 seconds |
./spec/asciichem/parser_spec.rb[1:1:7:1]                     | passed  | 0.00116 seconds |
./spec/asciichem/parser_spec.rb[1:1:8:1]                     | passed  | 0.00113 seconds |
./spec/asciichem/parser_spec.rb[1:1:9:1]                     | passed  | 0.00156 seconds |
./spec/integration/end_to_end_spec.rb[1:1]                   | passed  | 0.00051 seconds |
./spec/integration/end_to_end_spec.rb[1:2]                   | passed  | 0.00074 seconds |
./spec/integration/end_to_end_spec.rb[1:3]                   | passed  | 0.00062 seconds |
./spec/integration/end_to_end_spec.rb[1:4]                   | passed  | 0.00079 seconds |
./spec/integration/end_to_end_spec.rb[1:5]                   | passed  | 0.00057 seconds |
./spec/integration/end_to_end_spec.rb[1:6]                   | passed  | 0.00058 seconds |
./spec/integration/end_to_end_spec.rb[1:7]                   | passed  | 0.0005 seconds  |
./spec/integration/end_to_end_spec.rb[1:8]                   | passed  | 0.00056 seconds |
./spec/integration/end_to_end_spec.rb[1:9]                   | passed  | 0.00092 seconds |
./spec/integration/end_to_end_spec.rb[1:10]                  | passed  | 0.001 seconds   |
./spec/integration/end_to_end_spec.rb[1:11]                  | passed  | 0.00118 seconds |
./spec/integration/end_to_end_spec.rb[1:12]                  | passed  | 0.00062 seconds |
./spec/integration/end_to_end_spec.rb[1:13]                  | passed  | 0.00091 seconds |
./spec/integration/end_to_end_spec.rb[1:14]                  | passed  | 0.00303 seconds |
./spec/integration/end_to_end_spec.rb[1:15]                  | passed  | 0.0019 seconds  |
./spec/integration/end_to_end_spec.rb[1:16]                  | passed  | 0.00076 seconds |
./spec/integration/end_to_end_spec.rb[1:17]                  | passed  | 0.00118 seconds |
./spec/integration/end_to_end_spec.rb[1:18]                  | passed  | 0.0007 seconds  |
./spec/integration/end_to_end_spec.rb[1:19]                  | passed  | 0.00216 seconds |
